id,station,x,y,docks,deployment_year
M32029,Porter Square Station,-71.1191,42.388,19,2013
M32030,Dana Park,-71.1081,42.3618,19,2014
M32031,Danehy Park,-71.1328,42.389,17,2014
M32032,Kendall Street,-71.0822,42.3636,15,2014
M32033,Alewife Station at Russell Field,-71.1395,42.3961,23,2014
M32034,EF - North Point Park,-71.07,42.3699,23,2014
M32035,Rogers St & Land Blvd,-71.0765,42.3664,19,2018
M32036,Rindge Avenue - O'Neill Library,-71.129,42.3928,19,2014
M32037,Ames St at Main St,-71.0882,42.3625,19,2012
M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,-71.1171,42.3692,21,2012
M32039,Lesley University,-71.119,42.3867,15,2015
M32040,University Park,-71.1001,42.3626,19,2015
M32041,MIT Pacific St at Purrington St,-71.1013,42.3596,19,2015
M32042,MIT Vassar St,-71.1039,42.3556,25,2015
M32043,Mt Auburn,-71.1332,42.3748,19,2015
M32044,Huron Ave At Vassal Lane,-71.1343,42.3817,19,2017
M32045,Museum of Science,-71.0712,42.3677,19,2017
M32046,Alewife MBTA at Steel Place,-71.1426,42.3956,23,2016
M32047,Sidney Research Campus/Erie Street at Waverly,-71.1039,42.3578,19,2016
M32048,Third at Binney,-71.0828,42.3654,15,2016
M32049,Child St at North St,-71.0738,42.3723,23,2016
M32050,Verizon Innovation Hub 10 Ware Street,-71.1131,42.3725,19,2017
M32051,Fresh Pond Reservation,-71.1435,42.3827,17,2017
M32052,Cambridge Dept. of Public Works -147 Hampshire St.,-71.0976,42.3712,19,2017
M32053,One Memorial Drive,-71.0804,42.3616,19,2017
M32054,699 Mt Auburn St,-71.1487,42.375,25,2018
M32055,Harvard St at Greene-Rose Heritage Park,-71.0952,42.366,19,2018
M32056,Mass Ave at Hadley/Walden,-71.1226,42.3912,19,2018
M32057,Vassal Lane at Tobin/VLUS,-71.1378,42.3854,19,2018
M32058,84 Cambridgepark Dr,-71.1439,42.3936,25,2018
M32059,Ames St at Broadway,-71.0876,42.3637,19,2018
M32060,700 Huron Ave,-71.1541,42.3808,19,2018
M32061,Mass Ave at Albany St,-71.0967,42.3614,18,2019
M32062,Inman Square at Springfield St.,-71.1003,42.3743,25,2019
M32063,Sennott Park Broadway at Norfolk Street,-71.0993,42.3686,19,2019
M32064,75 Binney St,-71.0801,42.3655,19,2019
M32065,Kennedy-Longfellow School 158 Spring St,-71.0858,42.3696,19,2019
M32066,Discovery Park - 30 Acorn Park Drive,-71.148,42.3979,23,2019
M32067,Berkshire Street at Cambridge Street,-71.09,42.3721,19,2019
M32068,Graham and Parks School ? Linnaean St at Walker St,-71.1245,42.3829,19,2020
M32069,Smith Pl at Wilson Rd,-71.1506,42.3924,19,2020
M32070,MIT Carleton St at Amherst St,-71.0867,42.3605,27,2020
M32071,MIT Hayward St at Amherst St,-71.0855,42.3609,27,2020
M32072,Galileo Galilei Way at Main Street,-71.0897,42.363,19,2020
M32073,955 Mass Ave,-71.11,42.369,19,2021
M32074,Concord Ave at Spinelli Place,-71.1539,42.3907,19,2021
M32075,Danehy Park at New Street,-71.139,42.3895,19,2021
M32076,Old Morse Park at Putnam Ave,-71.1084,42.3577,15,2021
M32077,Cambridge Crossing at North First Street,-71.0762,42.3711,23,2021
N32000,Centre St at Washington St,-71.1864,42.3557,11,2020
N32001,Washington St at Crafts St,-71.1994,42.3539,11,2020
N32002,Nonantum Library,-71.2015,42.3607,15,2020
N32003,Bacon St at Washington St,-71.186,42.3571,11,2020
N32004,Union St at Herrick Rd ? Newton Centre Green Line,-71.1937,42.3296,11,2020
N32005,West Newton,-71.2263,42.3496,15,2020
N32006,West Newton Armory,-71.22,42.3495,11,2020
N32008,Langley Lot,-71.1929,42.3305,11,2020
N32009,Boston College T,-71.1671,42.3399,17,2021
N32010,Newton Highlands T,-71.2064,42.3221,15,2021
N32011,California at Chapel,-71.2024,42.3651,12,2021
N32012,Beacon at Walnut,-71.2067,42.3301,15,2021
N32013,Newton Library,-71.2078,42.3362,13,2021
N32014,Washington St at Walnut St,-71.2076,42.3515,11,2021
N32015,Auburndale,-71.2478,42.3481,15,2021
R32001,Sumner St at Shirley Ave,-70.998,42.4083,11,2021
R32002,Orr Sq (Shirley Ave),-70.9927,42.4072,11,2021
